Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2021-01-04 00:00:00-05:00,129.85384635373498,129.94137159533847,123.27945861661561,125.85669708251953,143301900,0.0,0.0,AAPL
2021-01-05 00:00:00-05:00,125.35095799115666,128.1227090738479,124.90358206952835,127.4127426147461,97664900,0.0,0.0,AAPL
2021-01-06 00:00:00-05:00,124.21311335164054,127.4516812419368,122.90990271047859,123.12386322021484,155088000,0.0,0.0,AAPL
2021-01-07 00:00:00-05:00,124.83552759816486,128.01574500748134,124.34925645838389,127.32523345947266,109578200,0.0,0.0,AAPL
2021-01-08 00:00:00-05:00,128.79373496048996,128.9882552399278,126.65414544499792,128.42417907714844,105158200,0.0,0.0,AAPL
2021-01-11 00:00:00-05:00,125.64275514317653,126.59584254088283,124.97169851220295,125.43851470947266,100384500,0.0,0.0,AAPL
2021-01-12 00:00:00-05:00,124.97168496595856,126.12901267192076,123.37671619500519,125.2634506225586,91951100,0.0,0.0,AAPL
2021-01-13 00:00:00-05:00,125.22453884607683,127.84067995815208,124.96196311469332,127.29605865478516,88636800,0.0,0.0,AAPL
2021-01-14 00:00:00-05:00,127.20853432464988,127.40303981441828,125.22453974548624,125.37042999267578,90221800,0.0,0.0,AAPL
2021-01-15 00:00:00-05:00,125.24400143779671,126.64446478265978,123.51287725867944,123.64903259277344,111598500,0.0,0.0,AAPL
2021-01-19 00:00:00-05:00,124.27145353534586,125.1759255883475,123.45452156734409,124.32008361816406,90757300,0.0,0.0,AAPL
2021-01-20 00:00:00-05:00,125.12729193961263,128.85213061210496,125.02031169638846,128.40475463867188,104319500,0.0,0.0,AAPL
2021-01-21 00:00:00-05:00,130.1261500695179,135.83496806730975,129.92190967683482,133.11184692382812,120150900,0.0,0.0,AAPL
2021-01-22 00:00:00-05:00,132.53806351525557,136.01004665089906,131.31266555904966,135.25146484375,114459400,0.0,0.0,AAPL
2021-01-25 00:00:00-05:00,139.14163304575837,141.10615779384105,132.79091821695442,138.99574279785156,157611700,0.0,0.0,AAPL
2021-01-26 00:00:00-05:00,139.65712338916506,140.3379002416551,137.48834270504506,139.2292022705078,98390600,0.0,0.0,AAPL
2021-01-27 00:00:00-05:00,139.49172564743122,140.3378474829839,136.55465878230473,138.1593475341797,140843800,0.0,0.0,AAPL
2021-01-28 00:00:00-05:00,135.68910643879175,138.09128711738055,132.94653001780165,133.32582092285156,142621100,0.0,0.0,AAPL
2021-01-29 00:00:00-05:00,132.10041903740844,132.98543606950525,126.63473619885515,128.33668518066406,177523800,0.0,0.0,AAPL
2021-02-01 00:00:00-05:00,130.0775115262782,131.66275996689077,127.3349355620146,130.45680236816406,106239800,0.0,0.0,AAPL
